,label,area,perimeter,max_intensity,mean_intensity,min_intensity,solidity,minor_axis_length,major_axis_length,eccentricity,bbox-0,bbox-1,bbox-2,bbox-3,q1_intensity,q2_intensity,q3_intensity,filename,cl,noncompactness,q1q2,mima,im_id,schistocyt,cls
13,14,21.855639220598846,17.71858542126594,199,177.46682449691608,162,0.9902523289530508,4.950889400253634,5.623632604800561,0.4742835831220857,64,2162,217,2297,159.49710000000002,162.0683,170.7779,TP1_a.jpg,1,14.364634507454854,0.9841350837887485,0.8803721274443415,1,False,0
14,15,27.541836303971895,20.17345302032797,199,178.72235131260197,166,0.987646484375,5.723805967161192,6.135208792345862,0.360021628901608,64,3194,224,3361,171.85580000000002,176.21450000000002,183.21450000000002,TP1_a.jpg,1,14.77636430163117,0.9752648051096817,0.9329439569036466,1,False,0
15,16,27.977560218406612,20.920413931291787,198,177.956830680878,161,0.986935011287766,4.968840468611069,7.19461967004107,0.7232055783127536,95,1936,288,2076,173.06830000000002,177.0683,184.427,TP1_a.jpg,1,15.64338404206689,0.9774098469347705,0.6906328195917971,1,False,0
16,17,25.679116569763483,19.27518195942363,210,179.74155575587253,157,0.9886762778505898,5.494230883494009,5.95615754811134,0.38612724745310634,121,545,283,699,172.06830000000002,177.8558,184.06830000000002,TP1_a.jpg,1,14.468279645038903,0.9674595936708279,0.9224455261825966,1,False,0
17,18,25.883362154654755,19.948342132380066,198,181.2133726129728,166,0.982834393257846,5.017323662609149,6.599683167341862,0.6496457709276284,126,1344,306,1486,171.0683,179.85580000000002,188.4232,TP1_a.jpg,1,15.374214194152767,0.9511414143997579,0.7602370500809911,1,False,0
18,19,20.036491877833907,17.09978274149839,198,181.62371729527692,169,0.9875838926174496,4.481289164919775,5.706053399334924,0.6190430772746215,129,2320,282,2441,176.0683,181.0683,186.42700000000002,TP1_a.jpg,1,14.59350127703379,0.972386110655482,0.785357032488006,1,False,0
19,20,29.237074658569462,21.400118728339756,198,176.54475596125187,163,0.9745824255628177,5.2979693847369385,7.057265242672209,0.6606303142874504,131,384,318,536,177.2145,181.42700000000002,186.42700000000002,TP1_a.jpg,1,15.663847595395705,0.9767812949560979,0.7507113878478628,1,False,0
20,21,39.393526776596175,26.62929504268126,198,166.4338598734921,148,0.927453997563634,5.75742237168294,9.29825720051115,0.7852382756894549,199,2434,376,2689,171.0683,175.85580000000002,180.92409999999998,TP1_a.jpg,1,18.000910618935976,0.9727759903284394,0.619193709910115,1,False,0
21,22,68.55979629907,45.400983978463834,199,172.7680483009275,154,0.9000411132760131,8.064540244626562,12.050707668793333,0.7430668918805032,225,2038,513,2322,158.4971,164.0,172.88995,TP1_a.jpg,1,30.064986442217453,0.966445731707317,0.6692171502517316,1,True,1
22,23,39.273702700126634,24.884937923174164,198,167.423360954131,153,0.9747879279461962,5.745602807786095,8.782099165068436,0.7562867757396855,231,1050,412,1279,163.50289999999998,171.85580000000002,181.3587,TP1_a.jpg,1,15.767806263865081,0.9513958795688011,0.6542402562065947,1,False,0
23,24,41.224928854454596,25.13754571164093,198,167.45484872506276,156,0.9768657438776498,6.141461797460441,8.669010929291538,0.7057724687163647,244,655,416,883,161.0,163.85580000000002,172.06830000000002,TP1_a.jpg,1,15.328012005448425,0.9825712608281183,0.7084385805431604,1,False,0
24,25,27.198703721354555,19.804449330291078,198,179.30623279098873,162,0.9891551946122611,5.5484532539577005,6.25041712428707,0.46043528056942634,260,105,418,269,161.6413,164.4971,171.0683,TP1_a.jpg,1,14.420400960804816,0.9826392076212894,0.8876932760852443,1,False,0
25,26,31.99711332906687,21.7896519086388,198,179.55700242563515,155,0.9819481007897706,5.9761572515447785,6.8314089951832475,0.48447347278260783,267,2699,448,2872,173.06830000000002,179.0683,185.85199999999998,TP1_a.jpg,1,14.838492629531611,0.9664932319120695,0.8748059522945416,1,False,0
26,27,24.66333519423755,19.45552519292149,198,180.5791972616353,167,0.981308917542529,5.527756175456315,5.785206921849405,0.294996162008544,292,1515,443,1677,175.2145,179.2145,184.852,TP1_a.jpg,1,15.347375265809191,0.9776803774248177,0.9554984376754516,1,False,0
27,28,24.156806143707193,18.78498744844718,200,181.2018488247562,168,0.9884116106746894,5.153159844923735,5.97368133539331,0.5058117026831783,308,3002,452,3164,175.85580000000002,179.9241,185.85780000000003,TP1_a.jpg,1,14.60771557875177,0.9773887989435546,0.8626439134595132,1,False,0
28,29,32.342969186149425,21.715851170631417,198,177.71026817665137,164,0.9893373318338956,5.818490044826895,7.088385351240641,0.5711460772232355,309,1254,496,1420,175.9241,179.8578,186.8578,TP1_a.jpg,1,14.580547300739564,0.9781288328890936,0.8208484381860697,1,False,0
29,30,31.77925137184951,21.393787625931864,203,180.49513689532543,160,0.9863911077300198,5.963837974740691,6.799875579123813,0.4803971965743129,310,1857,494,2022,172.85580000000002,176.4971,182.8558,TP1_a.jpg,1,14.402294869315487,0.9793690661206333,0.8770510438529452,1,False,0
30,31,16.62150569845182,16.132055924361264,199,183.07479315147046,168,0.988981609009155,3.8574705689366806,5.625702751914159,0.727896628863494,336,3285,483,3384,174.42700000000002,179.2145,186.7136,TP1_a.jpg,1,15.657018868691257,0.973286201730329,0.6856868802078402,1,False,0
31,32,30.55650113696709,21.373708073264545,198,179.4474845149503,167,0.9800419250589572,6.016122009941263,6.49332085266998,0.37627192192880266,379,232,562,399,178.92409999999998,182.42700000000002,187.9241,TP1_a.jpg,1,14.950513959481343,0.9807983467359545,0.9265092772163726,1,False,0
32,33,49.40292207350117,37.24420267826903,212,184.36789592635466,165,0.8609463243320203,5.443097060117396,13.08173112506221,0.9093262501438572,426,2744,594,3064,174.8558,178.2145,184.427,TP1_a.jpg,1,28.077906628199504,0.9811536098353388,0.416083850683142,1,True,1
33,34,25.12493021609183,18.99634988613566,198,175.80538694992413,157,0.9885882668095366,5.2137040925882765,6.139882919501777,0.5281458612701206,442,950,600,1104,178.427,183.92410000000004,190.2107,TP1_a.jpg,1,14.362679055934832,0.9701121277744459,0.8491536664369073,1,False,0
34,35,21.541101019866286,18.25111152846432,198,178.9998735777497,168,0.9734785551658359,5.03378108943988,5.579075792293429,0.43119084548094155,454,0,588,146,169.85580000000002,174.4971,182.6337,TP1_a.jpg,1,15.463604748765574,0.9734018502313221,0.9022607465546922,1,False,0
35,36,28.535831483776093,20.626522193503327,198,182.59579138235435,171,0.9832965795523859,5.390569128019319,6.748924201174456,0.6016894330785578,480,1666,639,1840,175.0683,178.0683,183.21450000000002,TP1_a.jpg,1,14.909445272024918,0.9831525319217401,0.7987301334753835,1,False,0
36,37,27.119728761863264,19.957295663270074,198,177.8941105588191,164,0.9843819502792468,5.6506800944523805,6.128956743592978,0.38727457271718657,495,1354,647,1528,178.427,182.3549,187.1328,TP1_a.jpg,1,14.686490919159683,0.9784601346056508,0.9219644273651347,1,False,0
37,38,22.05443825655969,18.937795182882766,198,166.68197814410075,151,0.9773714699493121,5.1382102574213455,5.696188290188602,0.43164490364118646,500,3250,647,3384,172.85580000000002,177.0683,183.21450000000002,TP1_a.jpg,1,16.261583370056897,0.9762097450531801,0.9020436115624293,1,False,0
38,39,24.603423156002776,18.904642086348257,209,183.89069677347945,170,0.9880789631979001,5.197869347099492,6.035310755393729,0.5081933058429028,510,3080,674,3225,160.4971,163.0,171.0683,TP1_a.jpg,1,14.525844235042326,0.9846447852760736,0.8612430341642608,1,False,0
39,40,21.19660680001634,17.583646150066954,198,183.5412732061412,174,0.9876911363492165,4.934801070035505,5.475417060549102,0.43326853792018355,524,376,671,514,178.2145,182.21450000000004,189.35490000000001,TP1_a.jpg,1,14.586514476011608,0.9780478501985295,0.9012648745227488,1,False,0
40,41,24.045151890633296,18.568380153794454,203,182.29724219944504,170,0.9883031117080815,5.335315969854753,5.752217976938719,0.37376543750134433,535,693,686,838,179.427,182.42700000000002,188.06830000000002,TP1_a.jpg,1,14.339054421616586,0.9835550658619611,0.9275232599398402,1,False,0
41,42,28.892580438719516,20.481318177173275,206,179.7342476082756,165,0.985921382771118,5.863398004626626,6.285642874691433,0.36033254175319634,546,129,710,295,177.0683,181.0683,187.85780000000003,TP1_a.jpg,1,14.518758376889352,0.9779088885243855,0.9328239165853763,1,False,0
42,43,22.758404705818275,18.16292603234869,201,178.01035060428384,160,0.9874748907006972,5.104619239084792,5.683812888432044,0.4397960151267946,556,1520,708,1667,173.49710000000005,177.8558,185.6337,TP1_a.jpg,1,14.495386927196684,0.9754930679797907,0.8980976923913078,1,False,0
43,44,24.883920425920127,18.90464208634826,198,176.82593707250342,161,0.9890139625500596,5.389242728086029,5.8869122936026175,0.4024051171528051,569,1966,730,2113,171.85580000000002,176.35870000000003,184.3587,TP1_a.jpg,1,14.362105580464014,0.9744673781333157,0.9154616986467741,1,False,0
44,45,25.41223567217222,20.667356205230195,198,178.43556770079837,162,0.9682490272373541,4.772373135929393,6.903031304981067,0.7225252246222904,591,2800,739,2987,171.21450000000002,175.9241,182.85780000000003,TP1_a.jpg,1,16.808423234544772,0.9732293642542438,0.691344559380132,1,False,0
45,46,30.315491346795387,20.71429635056754,214,180.41389687387712,164,0.9914940993097305,5.886673594036318,6.5589468607381125,0.4410086264990053,634,905,800,1077,174.0,178.2145,183.21450000000002,TP1_a.jpg,1,14.153888135627842,0.9763515314410445,0.897502864259196,1,False,0
46,47,32.675208670905896,22.48967267426526,203,183.04375546943368,169,0.9855030800821355,5.540906814476009,7.533037746834034,0.6774731932001697,663,3145,853,3319,173.06830000000002,177.92409999999998,186.92409999999998,TP1_a.jpg,1,15.479178177244401,0.9727085875381696,0.7355474644747038,1,False,0
47,48,38.991843792976674,26.242384290864337,198,170.3034641709736,158,0.9372565705495368,5.7801364085199145,8.903996445042749,0.7606501552222203,690,2609,906,2809,177.427,181.85780000000003,188.8578,TP1_a.jpg,1,17.661712457758853,0.9756359089354428,0.6491620301283896,1,False,0
48,49,27.100665840606744,20.12126801802638,198,178.31889664874643,164,0.9830583819025981,5.501429294784841,6.28932356967695,0.4846194072081661,695,24,858,189,163.85580000000002,168.3587,175.0,TP1_a.jpg,1,14.939316584857272,0.973254129427229,0.874725116912282,1,False,0
49,50,46.4549774649038,28.33566554774101,198,172.05428378814082,157,0.950546082692522,6.01877518617718,10.199040466953063,0.8073071267310002,710,1742,886,2001,174.06830000000002,177.8558,183.27700000000002,TP1_a.jpg,1,17.2836149288852,0.978704658493004,0.590131513418269,1,False,0
50,51,25.367301643496138,19.11971319796251,203,177.50450885668278,162,0.9886960675051744,5.310734256985177,6.108432118264485,0.4940906802427143,717,355,862,522,166.35870000000003,169.85580000000002,176.9241,TP1_a.jpg,1,14.410812703292303,0.979411359517897,0.8694103747352524,1,False,0
51,52,31.504200650862597,22.796001648072085,198,181.86355188658857,164,0.9739844243317196,5.142084137564359,7.896151304040795,0.7588941618726194,742,1350,946,1501,171.0,175.427,183.6491,TP1_a.jpg,1,16.49486990315613,0.9747644319289506,0.6512139825553921,1,False,0
52,53,20.71050230797511,17.4624553291274,198,182.75470085470084,172,0.983129726585224,4.89344219193113,5.4041885486382375,0.4243662168603902,742,2824,887,2959,176.35870000000003,182.21450000000004,187.85580000000004,TP1_a.jpg,1,14.72380252237272,0.9678631502981375,0.9054906482054911,1,False,0
53,54,48.68806252638172,28.25751982795904,198,170.24515479486533,156,0.9581189710610932,6.74358331663694,9.441620445968635,0.699900830530261,770,1130,1016,1352,179.427,182.21450000000004,186.21450000000002,TP1_a.jpg,1,16.400065753177923,0.9847020956071001,0.714240034878367,1,False,0
54,55,23.53862284010294,18.760749284259266,198,176.39844970208827,161,0.9852388008662943,4.878321996150514,6.167540006292588,0.6118585220062109,773,2321,925,2469,165.0,168.3587,173.85580000000002,TP1_a.jpg,1,14.952689292730744,0.9800503330092237,0.7909672237510066,1,False,0
55,56,33.05102054710584,25.314180271213015,201,189.4873316030157,175,0.9479789103690686,6.280327522565547,6.755801047218752,0.3685196379600642,776,2045,961,2225,171.85580000000002,175.85580000000002,181.85780000000003,TP1_a.jpg,1,19.388439818073437,0.977254091136033,0.9296199634462371,1,False,0
56,57,59.16313775683882,42.18604332602738,213,180.58359033371693,148,0.8400193330111165,5.7331817417066,15.168890982505065,0.9258233332482504,805,460,1168,648,186.21450000000002,189.7136,193.7136,TP1_a.jpg,1,30.080592730221507,0.9815558821296945,0.37795655254684907,1,True,1
57,58,27.95032747375444,20.34637890597429,201,184.73956252740294,172,0.9868275563674823,5.27028242000054,6.767045758610047,0.6272526515946846,816,2956,960,3141,174.06830000000002,179.3587,186.92409999999998,TP1_a.jpg,1,14.811101407459402,0.9705038004847271,0.7788158389936848,1,False,0
58,59,27.009436146021976,19.968421685047375,198,183.90809639040128,169,0.9872094759368935,5.374262800614837,6.423868972611939,0.5478013965289488,838,1901,1005,2057,180.42700000000002,184.2145,189.85780000000003,TP1_a.jpg,1,14.762909615593639,0.9794397292286983,0.8366084089709674,1,False,0
59,60,23.1151536607617,18.53563839631136,198,179.73156220546653,167,0.9828624363131079,4.824879315600055,6.137671033421172,0.6180877085167792,845,2524,986,2688,179.3587,183.35870000000003,189.13280000000003,TP1_a.jpg,1,14.863405011320634,0.9781848366071529,0.7861091429187661,1,False,0
60,61,33.079614928990615,21.98572971302938,209,185.8031201119618,172,0.9894916911045943,6.2670892862074625,6.724498469349681,0.362513059220065,871,80,1053,255,175.427,179.2145,184.2145,TP1_a.jpg,1,14.612392316295091,0.9788661073741244,0.9319786917601225,1,False,0
61,62,19.174575509592735,16.769215603503653,209,187.6344269279932,173,0.988141183074872,4.73972909756189,5.158711326574523,0.39476620085464625,896,653,1026,793,179.9241,184.06830000000002,191.3549,TP1_a.jpg,1,14.665596733346574,0.9774855311859781,0.9187816098849545,1,False,0
62,63,21.839299573807544,17.891511306912253,214,185.82081177130743,164,0.9894509561998767,4.813299361734584,5.780540600246241,0.5537651875389203,933,2317,1082,2457,183.0683,186.50490000000002,192.4232,TP1_a.jpg,1,14.657346301951959,0.9815736744718234,0.8326728751856782,1,False,0
63,64,27.219128279843684,20.046381034575354,198,180.23531765882942,167,0.9857974159187296,5.655895585478989,6.145086400834788,0.39099412106177905,949,3064,1108,3235,180.21450000000002,185.2107,190.4232,TP1_a.jpg,1,14.763786277496845,0.9730242367206647,0.920393175384915,1,False,0
64,65,30.77844800588227,20.972598933593375,204,180.467926030791,164,0.9919255748639635,5.733973887953861,6.837399397654755,0.544718244758464,968,896,1124,1082,175.0683,179.0683,185.85780000000003,TP1_a.jpg,1,14.29084097889859,0.9776621546080462,0.8386191232181973,1,False,0
65,66,21.01550904807941,17.335383343374783,198,176.9648827264481,162,0.98973964345261,4.78833471895561,5.595349155384982,0.5173556408373543,992,2670,1122,2820,175.0,179.3587,185.85780000000003,TP1_a.jpg,1,14.299701947463404,0.9756984188667737,0.8557704954564455,1,False,0
66,67,27.39477948285018,20.230882879593807,198,182.75222426561956,159,0.9801237394650948,5.811160201752939,6.03450032127472,0.26953905321111854,998,2891,1166,3056,170.8558,176.35870000000003,182.85780000000003,TP1_a.jpg,1,14.940387541504643,0.9687971163316579,0.9629894593369409,1,False,0
67,68,20.990999577892456,17.93627896136231,202,188.59678256357032,177,0.9832886847812221,4.429554062721608,6.04819031904148,0.6808996059774717,1005,751,1170,874,178.427,181.9241,187.85780000000003,TP1_a.jpg,1,15.32609734881947,0.9807771482722739,0.732376765455953,1,False,0
68,69,23.736060238831172,18.560962805942918,206,183.86410050481874,167,0.9875927709478216,5.360623017504166,5.648555503482749,0.3151994057086661,1005,2501,1156,2651,184.8578,188.35490000000001,192.8578,TP1_a.jpg,1,14.514175344061266,0.9814334535496554,0.94902546574942,1,False,0
69,70,32.58942552525156,21.924591179837776,200,181.5312108297819,169,0.9877429738764393,6.1221256051361275,6.788631207066319,0.43211121304665284,1021,1223,1197,1402,178.2145,182.42700000000002,189.85780000000003,TP1_a.jpg,1,14.74980582368857,0.9769085716478371,0.9018203255412633,1,False,0
70,71,12.437194482645934,15.82156833903384,198,185.45927304576307,175,0.9465284974093264,3.1544748240507667,5.5530725834711,0.8229875882546889,1031,3293,1182,3384,175.85580000000002,180.85580000000002,186.92409999999998,TP1_a.jpg,1,20.126888347368162,0.9723536651851917,0.5680593539223966,1,True,1
71,72,30.34000081698234,21.550342632836635,202,183.41531280854502,165,0.982971589906476,5.6762363821284465,6.836846887477641,0.5574033340395717,1062,155,1248,315,181.9241,185.427,189.92410000000004,TP1_a.jpg,1,15.307094762262034,0.9811090078575397,0.8302418462120357,1,False,0
72,73,24.56665895072235,18.98368768131988,201,184.95455049329343,173,0.9877367787145517,5.090427918808226,6.157097343082224,0.5625581126336352,1095,1040,1234,1207,177.8558,183.35870000000003,189.85780000000003,TP1_a.jpg,1,14.669491635178158,0.9699883343413754,0.826757745600295,1,False,0
73,74,28.245802753230485,20.121268018026377,199,179.45651754724258,167,0.9901670644391408,5.695101519300307,6.321835394391936,0.4341055032111989,1111,1835,1272,2004,179.85580000000002,183.85580000000002,190.35775,TP1_a.jpg,1,14.333649151003382,0.978243819341027,0.9008620383176061,1,False,0
74,75,20.996446126822892,18.100887623967438,201,182.50285343709467,167,0.9903024853895062,4.785625520194376,5.843410618684393,0.5738247269758404,1114,0,1271,124,173.85780000000003,178.2145,184.8578,TP1_a.jpg,1,15.604647129160385,0.9755536165687979,0.8189781332313473,1,False,0
75,76,24.314756062689778,18.900933412422493,211,183.4670997367979,167,0.9891430787126794,5.165608756229721,5.996458354359127,0.5078537924064207,1120,1391,1269,1550,176.77790000000002,181.0683,188.77410000000003,TP1_a.jpg,1,14.692530039773278,0.9763050738312561,0.8614432805115007,1,False,0
76,77,52.55511226698983,34.38822593953582,198,180.75713138326813,165,0.8795433311305061,6.300970946485073,11.839727941942106,0.8466256850124233,1124,2346,1410,2533,177.0683,182.21450000000004,189.21450000000004,TP1_a.jpg,1,22.50114274822567,0.9717574616729182,0.5321888287790763,1,True,1
77,78,27.347122179708883,20.177161694253744,198,180.75438159729137,168,0.9823428711176326,5.410305644506032,6.456912485820184,0.54580982243552,1147,2002,1323,2153,175.2145,180.42700000000002,187.21450000000002,TP1_a.jpg,1,14.887045567746629,0.9711101996929504,0.8379090867945675,1,False,0
78,79,26.790212551572008,19.894620947040004,198,180.89804320203302,168,0.9846361725552998,5.2627253682034425,6.493113915549831,0.5857265871136104,1162,369,1341,513,176.21450000000002,180.35490000000001,185.6299,TP1_a.jpg,1,14.773900799199826,0.9770430412481169,0.8105087076325843,1,False,0
79,80,22.236897645729226,19.08914393136671,198,182.5529973669708,166,0.9657027969960381,5.253130654102752,5.440045204029603,0.2598797263539668,1175,2946,1322,3105,176.427,180.42700000000002,185.85199999999998,TP1_a.jpg,1,16.386971862615894,0.9778303690689307,0.9656409932424096,1,False,0
80,81,26.21287836494601,20.01165315645896,198,177.46246948210484,165,0.9664641799287113,5.523430937105885,6.104373480666085,0.4257693093710211,1178,692,1331,858,177.8558,182.21450000000004,188.21450000000004,TP1_a.jpg,1,15.277462340417745,0.9760792911650826,0.9048317496627335,1,False,0
81,82,24.45908960934628,18.834550022266647,198,176.67238211879976,161,0.9888252779918529,5.0885672628026715,6.127852792303134,0.5571681071614442,1189,2178,1334,2338,172.06830000000002,176.21450000000002,182.6337,TP1_a.jpg,1,14.503412850072376,0.9764707217623976,0.8303997232430497,1,False,0
82,83,25.424490407265697,19.338492983502526,212,181.99839331619538,165,0.9888259280834614,5.4360072562202975,5.957143587089199,0.40903411468442447,1222,529,1374,688,171.0683,175.427,182.85780000000003,TP1_a.jpg,1,14.709333594592042,0.9751537676640426,0.9125190918683999,1,False,0
83,84,25.82481175365259,19.500292847371544,205,181.3436676157334,164,0.9878125,5.2069084213029955,6.337847729074946,0.5701251910646833,1236,3198,1383,3368,174.4971,179.6337,188.6413,TP1_a.jpg,1,14.724654133421385,0.9714051427989291,0.8215578290744106,1,False,0
84,85,30.947291022725725,21.01583040500495,214,184.0525343189018,167,0.9909312870596442,6.063650149005641,6.501728468447736,0.3608567568979369,1263,1060,1426,1235,175.0683,180.21450000000002,187.63370000000003,TP1_a.jpg,1,14.271527911363865,0.9714440291985383,0.9326212527071767,1,False,0
85,86,25.929657820563445,19.606835342862016,206,185.81032400357086,170,0.9867861954606695,5.323816063414376,6.219788539309293,0.5170617786268783,1295,1328,1456,1478,176.3549,181.42700000000002,190.8578,TP1_a.jpg,1,14.82580274766424,0.9720433011624509,0.8559480808338841,1,False,0
86,87,27.995261502430523,20.40380876524012,198,180.7932392996109,167,0.9853349947282661,5.571060053333558,6.410152359244173,0.49463734359119316,1325,276,1503,429,180.92409999999998,185.0683,191.3627,TP1_a.jpg,1,14.870924213097474,0.9776071861037249,0.8690994755061402,1,False,0
87,88,41.559891613676285,25.13537322075364,198,169.95796474674006,159,0.9722549612971044,6.6888372099038484,7.989195210139583,0.5468426198967867,1328,1522,1541,1712,176.0683,179.7779,185.4232,TP1_a.jpg,1,15.201843951360894,0.9793656506166776,0.837235420335534,1,False,0
88,89,28.523576748682615,20.40643119372225,218,184.17046973458088,163,0.9889061983666148,5.634339052557593,6.450552723865027,0.4868849897819687,1348,2542,1526,2696,164.3587,167.49710000000002,174.06830000000002,TP1_a.jpg,1,14.599236194435301,0.9812629591795916,0.8734660879078318,1,False,0
89,90,22.528288013507442,18.152436318420204,198,180.31755817467513,169,0.9854666746083746,5.180159158146843,5.553676042975716,0.3605388242643009,1353,3076,1499,3222,176.00000000000003,181.42700000000002,190.8578,TP1_a.jpg,1,14.626541710436836,0.970087142487061,0.9327442072712727,1,False,0
90,91,27.992538227965305,20.18982389906952,199,182.3117521159646,168,0.9871788715486195,5.688000060367543,6.276930705566943,0.4229020958781633,1386,2067,1544,2234,175.85580000000002,179.9241,184.427,TP1_a.jpg,1,14.562058851390844,0.9773887989435546,0.9061753788874738,1,False,0
91,92,27.781484456910988,20.10336095624636,200,177.70680782237906,162,0.9902446126965637,5.481046629681666,6.461788781970032,0.5296370847079782,1390,1738,1541,1914,177.35490000000001,181.70960000000002,187.85780000000003,TP1_a.jpg,1,14.54728318653953,0.9760348380052567,0.8482243562301393,1,False,0
92,93,24.182677251126755,18.751795753369258,198,177.8080518018018,166,0.9872699983323142,5.2818805460105205,5.841593008595177,0.42714114353546506,1425,118,1570,276,170.8558,176.427,183.85780000000003,TP1_a.jpg,1,14.540567213652643,0.9684220669171952,0.9041849608897592,1,False,0
93,94,30.619136449667078,21.31103335703447,198,179.64268243874238,165,0.9851485148514851,5.621432114461462,6.960484992838914,0.5897022326557398,1427,2293,1584,2481,172.49710000000002,176.8558,183.35490000000001,TP1_a.jpg,1,14.832558831017392,0.9753544978451373,0.8076207506006986,1,False,0
94,95,25.386364564752657,19.44286298810571,213,185.2353035829221,173,0.9878139239164989,5.255180021998769,6.169872561362162,0.5239507645375973,1433,2928,1576,3097,174.06830000000002,178.4971,185.0683,TP1_a.jpg,1,14.890864747885733,0.9751883924164596,0.8517485522972535,1,False,0
95,96,28.552171130567395,20.589396855702223,201,182.75134722685868,169,0.987241054613936,5.412093304053014,6.72895235589803,0.5942240699339388,1449,1032,1625,1184,179.427,183.0683,190.13280000000003,TP1_a.jpg,1,14.847321450373231,0.9801096093643739,0.8042995429012411,1,False,0
96,97,27.95441238545227,20.927831279143327,198,180.29600584510473,166,0.9621783755916952,5.4637799430066405,6.572310420930579,0.5557743138775758,1468,1301,1637,1469,178.0683,182.21450000000004,187.9241,TP1_a.jpg,1,15.667441547661204,0.9772454991232857,0.831333213599643,1,False,0
97,98,27.400226031780612,19.93414374452581,210,184.99950305620433,169,0.9904025986809726,5.286391393166413,6.606160336621866,0.599704581449316,1494,1933,1667,2086,175.427,179.2145,185.7136,TP1_a.jpg,1,14.50243827793687,0.9788661073741244,0.8002214787099261,1,False,0
